#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1128,R SCT,000-BCD-304,2460608.57536,7.200,0.004,False,Johnson B,CCD,MSD,1.523,True
1129,R SCT,000-BCD-304,2460608.57745,5.686,0.003,False,Johnson V,CCD,MSD,1.533,True
1130,R SCT,000-BCD-304,2460609.57796,7.236,0.004,False,Johnson B,CCD,MSD,1.564,True
1131,R SCT,000-BCD-304,2460609.58002,5.701,0.003,False,Johnson V,CCD,MSD,1.574,True
1132,R SCT,000-BCD-304,2460610.59407,7.269,0.004,False,Johnson B,CCD,MSD,1.738,True
1133,R SCT,000-BCD-304,2460610.59612,5.750,0.003,False,Johnson V,CCD,MSD,1.757,True
1134,R SCT,000-BCD-304,2460611.55664,7.278,0.004,False,Johnson B,CCD,MSD,1.455,True
1135,R SCT,000-BCD-304,2460611.55870,5.757,0.003,False,Johnson V,CCD,MSD,1.463,True
1136,R SCT,000-BCD-304,2460612.59225,7.353,0.004,False,Johnson B,CCD,MSD,1.783,True
1137,R SCT,000-BCD-304,2460612.59432,5.812,0.003,False,Johnson V,CCD,MSD,1.800,True
1138,R SCT,000-BCD-304,2460613.54615,7.308,0.004,False,Johnson B,CCD,MSD,1.428,True
1139,R SCT,000-BCD-304,2460613.54819,5.831,0.004,False,Johnson V,CCD,MSD,1.435,True
1140,R SCT,000-BCD-304,2460615.24435,5.933,0.025,False,Johnson V,CCD,TJV,1.666,True
1141,R SCT,000-BCD-304,2460615.24720,7.384,0.117,False,Johnson B,CCD,TJV,1.666,True
1142,R SCT,000-BCD-304,2460615.58549,7.414,0.004,False,Johnson B,CCD,MSD,1.800,True
1143,R SCT,000-BCD-304,2460615.58757,5.911,0.004,False,Johnson V,CCD,MSD,1.817,True
1144,R SCT,000-BCD-304,2460617.58619,7.509,0.005,False,Johnson B,CCD,MSD,1.882,True
1145,R SCT,000-BCD-304,2460617.58826,6.013,0.004,False,Johnson V,CCD,MSD,1.902,True
1146,R SCT,000-BCD-304,2460620.58256,7.593,0.005,False,Johnson B,CCD,MSD,1.949,True
1147,R SCT,000-BCD-304,2460620.58462,6.122,0.004,False,Johnson V,CCD,MSD,1.970,True
1148,R SCT,000-BCD-304,2460621.24323,7.529,0.130,False,Johnson B,CCD,TJV,1.758,True
1149,R SCT,000-BCD-304,2460621.24404,6.167,0.028,False,Johnson V,CCD,TJV,1.758,True
1150,R SCT,000-BCD-304,2460623.53701,7.570,0.005,False,Johnson B,CCD,MSD,1.543,True
1151,R SCT,000-BCD-304,2460623.53906,6.261,0.004,False,Johnson V,CCD,MSD,1.553,True
