jd,time,mag,band,ra,dec,angDist,src_table,time_col_name,time_scale
2451541.0,277.0,14.348,r,69.43108222222222,1.082107222222222,0.1497156689516399,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.094,r,69.2255747222222,1.1249441666666664,0.1505209808937046,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,14.386,r,69.39069888888888,0.8726197222222221,0.1510270612480803,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,17.124,r,69.26986249999999,1.1452747222222222,0.15156110303157247,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,16.964,r,69.18439666666666,1.0885491666666665,0.15219088616477988,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,12.681,r,69.16503055555555,0.9413183333333333,0.15295264947421347,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,17.26,r,69.31699388888887,1.151391111111111,0.15339027718239717,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,15.113,r,69.22867333333332,0.8645658333333333,0.1549931845159067,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451541.0,277.0,15.393,r,69.38540916666666,1.1321380555555554,0.15509312300349204,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,13.347,r,69.38011805555554,0.8611355555555554,0.15546443120548994,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,10.293,r,69.46378888888889,0.9963838888888887,0.15679520321224316,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,16.655,r,69.17610555555555,0.9098224999999999,0.157978086957843,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,16.327,r,69.39545055555554,0.8666319444444444,0.15864555947399617,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451542.0,278.0,17.051,r,69.14690472222222,0.9942577777777777,0.1601047982229539,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451540.0,276.0,15.317,r,69.42064166666665,0.8853449999999998,0.1602502577370551,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
2451537.0,273.0,16.283,r,69.17901666666666,0.9016963888888888,0.1603379168256458,I/282/cmc12,JD-2451264,JD-2451264.0 -> JD
